feature,ks_stat,ks_p
age,,
bp,,
bgr,,
bu,,
sc,,
sod,,
pot,,
hemo,,
pcv,,
wc,,
rc,,
sg,0.21145833333333333,7.616650361986391e-10
al,0.11666666666666667,0.002770675818291239
su,0.14479166666666668,7.89668505949681e-05
rbc_0.0,0.014583333333333334,0.9999999991375347
rbc_1.0,0.014583333333333334,0.9999999991375347
pc_0.0,0.017708333333333333,0.9999988386618129
pc_1.0,0.017708333333333333,0.9999988386618129
pcc_0.0,0.0020833333333333333,1.0
pcc_1.0,0.0020833333333333333,1.0
ba_0.0,0.0125,0.9999999999997369
ba_1.0,0.0125,0.9999999999997369
htn_0.0,0.016666666666666666,0.9999998355834835
htn_1.0,0.016666666666666666,0.9999998355834835
dm_0.0,0.017708333333333333,0.9999988386618129
dm_1.0,0.017708333333333333,0.9999988386618129
cad_0.0,0.005208333333333333,1.0
cad_1.0,0.005208333333333333,1.0
appet_good,0.016666666666666666,0.9999998355834835
appet_poor,0.016666666666666666,0.9999998355834835
pe_0.0,0.00625,1.0
pe_1.0,0.00625,1.0
ane_0.0,0.0010416666666666667,1.0
ane_1.0,0.0010416666666666667,1.0
